geotype	subtype	scalerank	code	name	country_name	country_code	province_name	province_code	continent	region_un	subregion	region_wb	latitude	longitude	x_min	y_min	x_max	y_max	tsvector	area
OpenPlaces::Country	Admin-0 country	0	LV	Latvia					Europe	Europe	Northern Europe	Europe & Central Asia	56.8680286665001	24.3832878901418	20.9685978520001	55.6669908660001	28.2172746170001	58.0751384490001	'latvia':1A	9.50486436771674
OpenPlaces::Place	Admin-1 capital	10		Daru			Papua New Guinea	PG	Oceania	Oceania	Melanesia	East Asia & Pacific	-9.10915195792	143.233722594	143.133722594	-9.20915195792	143.333722594	-9.00915195792		0.0399999999999976
OpenPlaces::Province	Province	6	MB	Milne Bay Province	Spratly Is.	PG			Asia	Asia	South-Eastern Asia	East Asia & Pacific	-11.581	153.487	148.955487094854	-11.6363257789998	154.302256707	-8.41912200299987	'bay':2A 'miln':1A 'provinc':3A 'sprat':4C	1.13307862413634
OpenPlaces::Province	State	2	WA	State of Western Australia	Australia	AU			Oceania	Oceania	Australia and New Zealand	East Asia & Pacific	-25.8483	121.646	112.919444207	-35.137872003	129.000116567888	-13.723565363	'australia':4A,5C 'state':1A 'western':3A	227.795882426519
OpenPlaces::Province	Admin-1 aggregation	10		Guantanamo Bay USNB			USNB Guantanamo Bay	CUB	North America	Americas	Caribbean	Latin America & Caribbean	19.9347	-75.1964	-75.2328569552957	19.8911422360002	-75.0949502909999	19.9715836900001		0.00563874782833453
OpenPlaces::Province	Province	4	LS	Lunda Sul	Angola	AO			Africa	Africa	Middle Africa	Sub-Saharan Africa	-10.2341	20.3821	18.4512565445539	-11.4748031549416	22.3133972580001	-8.33210092491773	'angola':3C 'lunda':1A 'sul':2A	6.40943772003155
OpenPlaces::Province	Admin-1 aggregation	4	QO	Bayqongyr Qalasy			Baikonur	KAZ	Asia	Asia	Central Asia	Europe & Central Asia	45.9632	63.3524	62.8006417230001	45.5658244830001	63.9671338300001	46.390838725		0.754809746679132
OpenPlaces::Province	Admin-1 aggregation	10		Northern Cyprus			N. Cyprus	CYN	Asia	Asia	Western Asia	Europe & Central Asia	35.1975	33.6025	32.6019153500579	35.002722473	34.5925399100002	35.6919619810002		0.328856297150743
OpenPlaces::Province	Admin-1 scale rank	10		Dhekelia	Cyprus	CY	Lioptri		Asia	Asia	Western Asia	Europe & Central Asia	35.0123	33.7978	33.6740991620001	34.937892971	33.9214742440001	35.1189944460001	'cyprus':3C 'dhekelia':1A 'lioptri':2B	0.0125844919683415
OpenPlaces::Province	Admin-1 aggregation	10		Clipperton Island			Clipperton I.	IP	Seven seas (open ocean)	Americas	Central America	Latin America & Caribbean	10.2973	-109.222	-109.234242317	10.2815615910001	-109.210357226	10.3110212260001		0.000412839149063897
OpenPlaces::Province	Province	4	BI	Provincia do Bie	Angola	AO			Africa	Africa	Middle Africa	Sub-Saharan Africa	-12.7997	17.4921	15.748165723969	-14.3116325814785	19.2359631686653	-10.5741862928632	'angola':4C 'bie':3A 'provincia':1A	5.99583747791894
OpenPlaces::Province	Province	3	FM	Provincia de Formosa	Argentina	AR			South America	Americas	South America	Latin America & Caribbean	-24.9146	-59.9494	-62.3413569669252	-26.8858116093877	-57.5569213459999	-22.4722610480544	'argentina':4C 'de':2A 'formosa':3A 'provincia':1A	6.7841605694864
OpenPlaces::Province	Admin-1 scale rank	8		Swains Island	American Samoa	AS			Oceania	Oceania	Polynesia	East Asia & Pacific	-11.0577	-171.08	-171.086537239	-11.0660946589999	-171.072824674	-11.051364842	'american':3C 'island':2A 'samoa':4C 'swain':1A	0.000154430660748215
OpenPlaces::Province	Municipality	9	SK	Saki Sahari	Azerbaijan	AZ			Asia	Asia	Western Asia	Europe & Central Asia	41.1882	47.1885	47.1479840817999	41.1554753151337	47.2194238140578	41.241544344296	'azerbaijan':3C 'sahari':2A 'saki':1A	0.00406984737927176
OpenPlaces::Province	Municipality	9	YV	Yevlakh City	Azerbaijan	AZ			Asia	Asia	Western Asia	Europe & Central Asia	40.6019	47.1503	47.0930551864477	40.5698336511021	47.1943465506528	40.6401634787615	'azerbaijan':3C 'citi':2A 'yevlakh':1A	0.00546599700095282
OpenPlaces::Province	District	9	YR	Yardymli Rayon	Azerbaijan	AZ			Asia	Asia	Western Asia	Europe & Central Asia	38.866	48.269	47.9907446700001	38.7131932540828	48.5476107110654	39.0299693868776	'azerbaijan':3C 'rayon':2A 'yardym':1A	0.0888860217520938
OpenPlaces::Province	Admin-1 scale rank	10	PR	Concelho da Praia	Cape Verde	CV			Africa	Africa	Western Africa	Sub-Saharan Africa	14.9529	-23.5159	-23.564080392596	14.9076195330076	-23.4704483709999	14.9861902388884	'cape':4C 'concelho':1A 'da':2A 'praia':3A 'verd':5C	0.00465167776130304
OpenPlaces::Place	Admin-1 capital	10		Viana Do Castelo			Portugal	PT	Europe	Europe	Southern Europe	Europe & Central Asia	41.6962351427	-8.84413748436	-8.94413748436	41.5962351427	-8.74413748436	41.7962351427		0.0400000000000004
OpenPlaces::Province	Division	2	KH	Khulna Division	Bangladesh	BD			Asia	Asia	Southern Asia	South Asia	22.9179	89.3708	88.5401042080001	21.643947658	89.9795101002899	24.189771315247	'bangladesh':3C 'divis':2A 'khulna':1A	1.92093477395467
OpenPlaces::Province	Division	2	CG	Chittagong	Bangladesh	BD			Asia	Asia	Southern Asia	South Asia	22.4245	92.1333	90.5991317070001	20.738714911	92.6428511970002	24.2564267030299	'bangladesh':2C 'chittagong':1A	2.56869169398469
OpenPlaces::Province	District	8	HT	Hope Town District	Bahamas	BS			North America	Americas	Caribbean	Latin America & Caribbean	26.5321	-76.9664	-76.985300259	26.4999453800001	-76.9598282539999	26.5544294290001	'bahama':4C 'district':3A 'hope':1A 'town':2A	0.000379901783248465
